Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-173;9789899970649;Fernando Marques de Oliveira;;Marques de Oliveira, Fernando;Book, Blue;Blue Book;2017;;;200;;Disponível;;;
150-174;9780955310270;Fiona Rae.;;Rae, Fiona;Taylor Gallery, Timothy;Timothy Taylor Gallery;2008;;;43;;Disponível;;;
150-175;0810903199;Fletcher Martin;;Fletcher Martin;Abrams;Abrams;1977;;;232;;Disponível;;;
150-176;1904621228;François Morellet;;Morellet, François;Juda Fine Art, Annely;Annely Juda Fine Art;2008;;;;;Disponível;;;
150-177;9780500276754;Frank Auerbach;;Hughes, Robert;& Hudson, Thames;Thames & Hudson;1992;;;240;;Disponível;;;https://covers.openlibrary.org/b/id/8449391-L.jpg
150-178;9783931354398;From the Terreiro;;Zagajewski, Adam;Clemente, Francesco;Jablonka Galerie;2008;;;84;;Disponível;;;
150-179;1576870537;Life Is Paradise;;Clemente, Francesco;Katz, Vincent;powerHouse Books;1999;;;193;;Disponível;;;https://covers.openlibrary.org/b/id/832008-L.jpg
150-180;9789898236050;Luxúria Branca e Gabriela;;de Melo, João;de Matos, Nelson;Nelson de Matos;2009;;;76;;Disponível;;;
150-181;0954393066;Frank Bowling;;Frank Bowling;Matthew Collins;ArtSway;2006;;;36;;Disponível;;;https://covers.openlibrary.org/b/id/8220315-L.jpg
150-182;9781906072261;Fred Tomaselli;;Siegel, Katy;Cube, White;White Cube;2009;;;87;;Disponível;;;
150-183;9782850253812;Domin et Zeze legende;;Bruly Bouabre, Frederic;Hazan;Hazan;1994;;;192;;Disponível;;;
150-184;9789722408516;Frederico George, ver pelo desenho.;;George, Frederico;Camara Municipal de Lisboa, Cultura;Camara Municipal de Lisboa, Cultura;1993;;;222;;Disponível;;;
150-185;9789729258190;Ilusionismos;;Baccherelli, Vincenzo;Raggi, Giuseppina;MNAA, Museu Nacional de Arte Antiga;2013;;;79;;Disponível;;;
150-186;9781572153233;Frida Kahlo;;Grimberg, Salomon;Press, JG;JG Press;2002;;;128;;Disponível;;;
150-187;9783791328638;Frida Kahlo;;Holzhey, Magdalena;Prestel;Prestel;2003;;;28;;Disponível;;;https://covers.openlibrary.org/b/id/1027149-L.jpg
150-188;9780691089225;Frederick Carl Frieseke;;C. Frieseke, Frederick;Kilmer, Nicholas;Telfair Museum of Art;2001;;;218;;Disponível;;;https://covers.openlibrary.org/b/id/7385055-L.jpg
150-189;9783791318660;Gabriele Munter;;Heller, Reinhold;Prestel;Prestel;1997;;;184;;Disponível;;;https://covers.openlibrary.org/b/id/2240927-L.jpg
150-190;9783791327846;Thomas Gainsborough;;Belsey, Hugh;Gainsborough, Thomas;Prestel Publishing;2002;;;96;;Disponível;;;https://covers.openlibrary.org/b/id/1027129-L.jpg
150-191;9781851708567;Gainsborough;;Butler, Stephen;Edns., Studio;Studio Edns.;1992;;;144;;Disponível;;;
150-192;9783038280828;Garo;;Garo, Bernard;Schaap Edition, Till;Till Schaap Edition;2017;;;431;;Disponível;;;
150-193;371651294X;Barcelona Basel Berlin.;;Garo, Bernard;Garo, Bernard;Benteli;2003;;;433;;Disponível;;;
150-194;0863554121;Gary Hume (British Council);;Rose, Andrea;Searle, Adrian;The British Council (Visual Arts publications);1999;;;128;;Disponível;;;https://covers.openlibrary.org/b/id/5547720-L.jpg
150-195;9781901352382;Gary Hume;;Hume, Gary;Art Oxford, Modern;Modern Art Oxford;2008;;;63;;Disponível;;;
150-196;3822800678;Gaudí, 1852-1926;;Zerbst, Rainer;Zerbst, Rainer;Taschen;1987;;;239;;Disponível;;;https://covers.openlibrary.org/b/id/13216509-L.jpg
150-197;3475525321;Friedrich Gauermann, 1807-1862;;Feuchtmuller, Rupert;Verlagshaus, Rosenheimer;Rosenheimer Verlagshaus;1987;;;319;;Disponível;;;https://covers.openlibrary.org/b/id/8391378-L.jpg
150-198;9781739775551;Gauguin and the Contemporary Landscape;;Ordovas, Pilar;(Gallery) Staff, Ordovas;Ordovas;2024;;;61;;Disponível;;;
150-199;9780500202203;Gauguin;;Thomson, Belinda;and Hudson, Thames;Thames and Hudson;1987;;;215;;Disponível;;;https://covers.openlibrary.org/b/id/4129331-L.jpg
150-200;573000074X;Paul Gauguin in Soviet Museums;;Kantor-Gukovskaya, A.;Books PLC, Ramboro;Ramboro Books PLC;1988;;;188;;Disponível;;;
150-201;9780785808626;Gauguin by Himself (Artist by Himself);;Thomson, Belinda;Sales, Book;Book Sales;1997;;;320;;Disponível;;;https://covers.openlibrary.org/b/id/538537-L.jpg
150-202;9783906053233;Paul Gauguin;;Gauguin, Paul;Beyeler, Fondation;Fondation Beyeler;2015;;;225;;Disponível;;;
150-203;2879390788;Gauguin Et Les Nabis;;Ellridge, Arthur;Terrail;Terrail;1998;;;;;Disponível;;;https://covers.openlibrary.org/b/id/3156727-L.jpg
150-204;9780486294414;Gauguin's intimate journals;;Gauguin, Paul;Publications, Dover;Dover Publications;1997;;;118;;Disponível;;;https://covers.openlibrary.org/b/id/312112-L.jpg
150-205;2840680335;Lettres a Andre Fontainas;;Gauguin, Paul;L'Echoppe;L'Echoppe;1994;;;74;;Disponível;;;https://covers.openlibrary.org/b/id/2172895-L.jpg
150-206;9780300081763;Georgia O'Keeffe;;Buhler Lynes, Barbara;University Press, Yale;Yale University Press;1999;;;1198;;Disponível;;;https://covers.openlibrary.org/b/id/2354924-L.jpg
150-207;9782917515006;Gerard Garouste;;Garouste, Gérard;Daniel Templon, Galerie;Galerie Daniel Templon;2008;;;62;;Disponível;;;
150-208;9788837073268;Gérard Garouste;;Garouste, Gérard;Electa;Electa;2009;;;162;;Disponível;;;
150-209;8472329151;G. Rueda;;Rueda, Gerardo;Estatal para la Acción Cultural Exterior, Sociedad;Sociedad Estatal para la Acción Cultural Exterior;2003;;;140;;Disponível;;;
150-210;9783775711692;Gerhard Richter. Malerei.;;Storr, Robert;Cantz Verlag, Hatje;Hatje Cantz Verlag;2002;;;340;;Disponível;;;
150-211;9783775722490;Gerhard Richter;;Wilmes;Cantz Verlag GmbH & Co KG, Hatje;Hatje Cantz Verlag GmbH & Co KG;2009;;;160;;Disponível;;;
150-212;0920886167;Gershon Iskowitz, painter of light;;Freedman, Adele;Pub. Co., Merritt;Merritt Pub. Co.;1982;;;178;;Disponível;;;https://covers.openlibrary.org/b/id/12679160-L.jpg
150-213;2840560526;Gericault;;Géricault, Théodore;L'Ecole;L'Ecole;1997;;;320;;Disponível;;;https://covers.openlibrary.org/b/id/987947-L.jpg
150-214;2711823768;Géricault;;Rota, Italo;de la Réunion des musées nationaux, Editions;Editions de la Réunion des musées nationaux;1991;;;409;;Disponível;;;
150-215;2879393337;Ghass Rouzkhosh;;Guibourgé, Stéphane;Terrail;Terrail;2007;;;;;Disponível;;;
150-216;3905241226;Augusto Giacometti;;Stutzer, Beat;Bundner Monatsblatt, Verlag;Verlag Bundner Monatsblatt;1991;;;207;;Disponível;;;https://covers.openlibrary.org/b/id/8425853-L.jpg
150-217;0847807797;Gilbert & George, the complete pictures, 1971-1985.;;Gilbert;Rizzoli;Rizzoli;1986;;;270;;Disponível;;;
150-218;9070149036;Gilbert & George 1968 to 1980;;Van Abbemuseum, Stedelijk;Van Abbemuseum, Municipal;Municipal Van Abbemuseum;1980;;;319;;Disponível;;;
150-219;9780500280157;The Words of Gilbert and George;;Gilbert;& Hudson Ltd, Thames;Thames & Hudson Ltd;1997;;;376;;Disponível;;;https://covers.openlibrary.org/b/id/5059086-L.jpg
150-220;9728176708;A arte de Gilbert & George;;Riley, Richard;Ministerio da Cultura [and] Centro Cultural de Belem;Ministerio da Cultura [and] Centro Cultural de Belem;2002;;;152;;Disponível;;;
150-221;0953055906;Gilbert and George;;Gilbert;Rosenblum, Robert.;Alexander Roussos;1997;;;48;;Disponível;;;https://covers.openlibrary.org/b/id/14020532-L.jpg
150-222;1874020175;Glenn Brown.;;Brown, Glenn;Hall Arts Centre, Queen's;Queen's Hall Arts Centre;1996;;;55;;Disponível;;;
150-223;9780300058642;Goya: Truth and Fantasy;;Wilson-Bareau, Juliet;University Press, Yale;Yale University Press;1994;;;384;;Disponível;;;
150-224;847075131X;Goya;;Goya, Francisco;Juan March, Fundacion;Fundacion Juan March;1979;;;179;;Disponível;;;https://covers.openlibrary.org/b/id/12142096-L.jpg
150-225;0810928183;Goya, painter of terrible splendor;;Baticle, Jeannine;Abrams, H.N.;H.N. Abrams;1994;;;175;;Disponível;;;https://covers.openlibrary.org/b/id/4703831-L.jpg
150-226;9781857594041;Graham Sutherland;;Hammer, Martin;Scala;Scala;2005;;;176;;Disponível;;;https://covers.openlibrary.org/b/isbn/9781857594041-L.jpg
150-227;2868820174;Günther Förg, les muses sont les filles de la mémoire;;Förg, Günther;Lelong, Galerie;Galerie Lelong;1997;;;18;;Disponível;;;
150-228;9780946708222;Harry Holland;;Lucie-Smith, Edward;Books International, Art;Art Books International;1991;;;136;;Disponível;;;https://covers.openlibrary.org/b/id/3919067-L.jpg
150-229;9781904561347;Helena Almeida - Inside me;;Yard Gallery, Kettle's;Yard, Kettle's;Kettle's Yard;2009;Instalação ;Inglês;95;;Disponível;;;https://covers.openlibrary.org/b/id/12591827-L.jpg
150-230;0807611042;Frankenthaler;;Wilkin, Karen;Frankenthaler, Helen;G. Braziller in association with the International Exhibitions Foundation;1984;;;128;;Disponível;;;https://covers.openlibrary.org/b/id/4697977-L.jpg
150-231;64301036;Helen Frankenthaler prints, 1961-1979.;;Frankenthaler, Helen;Published in association with Williams College, Artist-in-Residence Program [by] Harper & Row;Published in association with Williams College, Artist-in-Residence Program [by] Harper & Row;1980;;;144;;Disponível;;;
150-232;3907044770;Helmut Federle;;M. Federle, Helmut;Kunsthaus, Aargauer;Aargauer Kunsthaus;1998;;;119;;Disponível;;;
150-233;3907044339;Helmet Federle;;M. Federle, Helmut;Muller Publishers, Lars;Lars Muller Publishers;1997;;;200;;Disponível;;;
150-234;9788843564392;Helmut Schober;;Ronte, Dieter;Electa;Electa;2000;;;224;;Disponível;;;
150-235;2843371708;Le peintre du bonheur;;Vincenot, Denis;Anne Carrière, Editions;Editions Anne Carrière;2001;;;187;;Disponível;;;
150-236;9780955828515;Kenny Scharf Superdeluxa;;SCHARF, Kenny;Galleries, Waddington;Waddington Galleries;2008;;;50;;Disponível;;;https://covers.openlibrary.org/b/id/14485319-L.jpg
150-237;9053250131;HENRY VAN DE VELDE;;;;;;;;;;Disponível;;;https://covers.openlibrary.org/b/id/13458132-L.jpg
150-238;9782841050130;Hilton Mcconnico;;Souffan, David;du Seuil, Editions;Editions du Seuil;1998;;;171;;Disponível;;;
150-239;9784770021212;Hiroshige;;Oka, Isaburo;International, Kodansha;Kodansha International;1997;;;96;;Disponível;;;https://covers.openlibrary.org/b/id/2261440-L.jpg
150-240;0810911671;David Hockney;;David Hockney;Sarah Howgate;Los Angeles County Museum of Art;1988;;;288;;Disponível;;;https://covers.openlibrary.org/b/id/9604402-L.jpg
150-241;1904621317;David Hockney;;Hockney, David;Pacquement, Alfred;Annely Juda Fine Art;2009;;;;;Disponível;;;
150-242;0500271631;Pictures;;Hockney, David;and Hudson, Thames;Thames and Hudson;1979;;;120;;Disponível;;;https://covers.openlibrary.org/b/id/316292-L.jpg
150-243;9780500201855;David Hockney.;;Livingstone, Marco;and Hudson, Thames;Thames and Hudson;1981;;;;;Disponível;;;
150-244;9781851709632;Hogarth;;McWilliam, Neil;Editions, Studio;Studio Editions;1993;;;144;;Disponível;;;https://covers.openlibrary.org/b/id/14645849-L.jpg
150-245;9780300181494;Hopper drawing;;E. Foster, Carter;Whitney Museum of American Art;Whitney Museum of American Art;2013;;;247;;Disponível;;;
150-246;9780500277690;Howard Hodgkin;;Graham-Dixon, Andrew;and Hudson, Thames;Thames and Hudson;1994;;;192;;Disponível;;;
150-247;9780955493171;Ian Davenport;;Whitfield, Sarah;Galleries, Waddington;Waddington Galleries;2008;;;;;Disponível;;;
150-248;290788834X;Iba N'diaye;;Ndiaye, Iba;NEAS-Sepia;NEAS-Sepia;1994;;;77;;Disponível;;;https://covers.openlibrary.org/b/id/2188228-L.jpg
150-249;9789729089589;Isabel Pavão;;Castro, Laura;Árvore - Cooperativa de Actividades Artístícas, C.R.L.;Árvore - Cooperativa de Actividades Artístícas, C.R.L.;2020;;;265;;Disponível;;;
150-250;3925653074;Jakob Steinhardt;;Steinhardt, Jacob;Berlin-Museum;Berlin-Museum;1995;;;179;;Disponível;;;
150-251;2906211338;Sensible ways;;Rielly, James;des Beaux-Arts de Nantes, Musee;Musee des Beaux-Arts de Nantes;1997;;;;;Disponível;;;
150-252;9780892072675;James Rosenquist;;Hopps, Walter;Bancroft, Sarah;Guggenheim Museum Publications;2003;;;415;;Disponível;;;https://covers.openlibrary.org/b/id/11867264-L.jpg
150-253;9781905620135;JAMES ROSENQUIST.;;RATCLIFF, CARTER;OF VENISON, HAUNCH;HAUNCH OF VENISON;2006;;;167;;Disponível;;;
150-254;9788881580798;The seasons;;Bertozzi, Barbara;Charta;Charta;1996;;;62;;Disponível;;;https://covers.openlibrary.org/b/id/4885494-L.jpg
150-255;2711834379;Jean Fautrier;;Fautrier, Jean;des musees nationaux, Reunion;Reunion des musees nationaux;1996;;;157;;Disponível;;;
150-256;1885013159;Jean Fautrier;;Fautrier, Jean;Werner, Michael;Michael Werner;1998;;;;;Disponível;;;
150-257;285889034X;Jean-Gabriel Domergue, l'art et la mode;;Soyer, Gerard-Louis;Sous le vent, Editions;Editions Sous le vent;1984;;;137;;Disponível;;;
150-258;0856673110;The life and work of Jean-Leon Gerome;;M. Ackerman, Gerald;Publications, Sotheby's;Sotheby's Publications;1986;;;352;;Disponível;;;https://covers.openlibrary.org/b/id/8522743-L.jpg
150-259;9783822893517;Jeff Koons;;Koons, Jeff;Rosenblum, Robert.;Benedikt Taschen;1992;;;176;;Disponível;;;https://covers.openlibrary.org/b/id/13006201-L.jpg
150-260;9780500276952;The Jeff Koons handbook;;Koons, Jeff;& Hudson, Thames;Thames & Hudson;1992;;;174;;Disponível;;;
150-261;0974424919;Jeff Koons;;Jeff Koons;Rosenblum, Robert.;C&M Arts;2004;;;88;;Disponível;;;https://covers.openlibrary.org/b/id/14398692-L.jpg
150-262;9780847827572;Jenny Saville;;Saville, Jenny;Rizzoli;Rizzoli;2005;;;172;;Disponível;;;https://covers.openlibrary.org/b/isbn/9780847827572-L.jpg
150-263;9788837034177;Jenny Saville;;Saville, Jenny;Electa;Electa;2005;;;127;;Disponível;;;
150-264;9780957537606;"Jerzy \""Jurry\"" Zieliski";;;;Luxembourg & Dayan;2013;;;;;Disponível;;;
150-265;290788848X;Jerome Ramedane;;Deverdun, Rene;Sepia;Sepia;1995;;;63;;Disponível;;;https://covers.openlibrary.org/b/id/2188233-L.jpg
150-266;0896594149;Jim Dine;;William John Beal, Graham;Art Center, Walker;Walker Art Center;1984;;;156;;Disponível;;;
150-267;8480260661;Objetos y collages.;;Kolar, Jiri;Museo Nacional Centro de Arte Reina Sofia;Museo Nacional Centro de Arte Reina Sofia;1996;;;237;;Disponível;;;
150-268;9050660096;Joachim Beuckelaer;;Beuckelaer, Joachim;Museum voor Schone Kunsten (Ghent, Belgium);Gemeentekrediet;1986;;;208;;Disponível;;;
150-269;8472329070;Joan Hernández Pijuán;;Hernández Pijuan, Juan;Museu d'Art Contemporani de Barcelona;Museu d'Art Contemporani de Barcelona;2002;;;139;;Disponível;;;
150-270;9789898239198;Joana Vasconcelos;;Vasconcelos, Joana;Museu Colecçõao Berardo;Museu Colecçõao Berardo;2010;;;209;;Disponível;;;
150-271;0946652864;Joana Vasconcelos;;Joana Vasconcelos;New Art Gallery Walsall;New Art Gallery Walsall;2007;;;48;;Disponível;;;https://covers.openlibrary.org/b/id/14020532-L.jpg
150-272;9782351251621;Joana Vasconcelos;;Vasconcelos, Joana;des Musées de la ville de Strasbourg, Éditions;Éditions des Musées de la ville de Strasbourg;2018;;;96;;Disponível;;;
150-273;9727760465;JOÃO CRISTINO DA SILVA (1829-1877);;de Aires Silveira, Maria;Instituto Português de Museus;Instituto Português de Museus;;;;;;Disponível;;;
150-274;9789723617498;João Dixo;;Pinto, Paula;Afrontamento, Edicoes;Edicoes Afrontamento;2019;;;251;;Disponível;;;
150-275;9789724128276;João Vieira;;Rodrigues Vieira, João;Museu Serralves;Museu Serralves;2002;;;287;;Disponível;;;
150-276;9789899588769;Mestre Joaquim Lopes;;Lopes, Joaquim;Museu do Douro;Museu do Douro;2009;;;193;;Disponível;;;
150-277;0945936036;In the sunlight;;N. Peters, Lisa;Gallery, Spanierman;Spanierman Gallery;1989;;;104;;Disponível;;;https://covers.openlibrary.org/b/id/721650-L.jpg
150-278;0900955856;Paintings 1996-2000.;;Hubbard, John;Fine Art, Marlborough;Marlborough Fine Art;2000;;;22;;Disponível;;;https://covers.openlibrary.org/b/id/13064511-L.jpg
150-279;9781851588046;John Keane;;Lawson, Mark;Publishing, Momentum;Momentum Publishing;1995;;;120;;Disponível;;;https://covers.openlibrary.org/b/id/898861-L.jpg
150-280;9781851586264;John Keane, Conflicts of Interest;;Lawson, Mark;Mainstream;Mainstream;1997;;;120;;Disponível;;;https://covers.openlibrary.org/b/id/2043482-L.jpg
150-281;9781898253020;John Latham;;A. Walker, John;University Press, Middlesex;Middlesex University Press;1995;;;212;;Disponível;;;https://covers.openlibrary.org/b/id/6142051-L.jpg
150-282;094205119X;John Lees, paintings & drawings;;Lees, John;& Adler Modern, Hirschl;Hirschl & Adler Modern;1989;;;40;;Disponível;;;https://covers.openlibrary.org/b/id/12906083-L.jpg
150-283;3893227342;John Lennon;;Lennon, John;Ono, Yoko;Cantz;1995;;;228;;Disponível;;;
150-284;9780955493188;John Wesley;;Wesley, John;Schwendener, Martha;Waddington Galleries;2008;;;83;;Disponível;;;https://covers.openlibrary.org/b/id/13793041-L.jpg
150-285;188501340X;Jorg Immendorff;;Immendorff, Jorg;Werner, Michael;Michael Werner;2005;;;;;Disponível;;;
150-286;1885013221;Jorg Immendorff;;Immendorff, Jorg;Werner, Michael;Michael Werner;2001;;;;;Disponível;;;
150-287;8476715978;Jorge Galindo;;Galindo, Jorge;Museo Extremeño e Iberoamericano de Arte Contemporáneo, MEIAC;MEIAC Museo Extremeño e Iberoamericano de Arte Contemporáneo;2000;;;158;;Disponível;;;
150-288;8489777268;Jose Arpa Perea;;Arpa Perea, Jose;El Monte, Fundacion;Fundacion El Monte;1998;;;253;;Disponível;;;
150-289;9789727392483;José Barrias in itinere;;Barrias, José;Serralves;Serralves;2011;;;159;;Disponível;;;
150-290;849600807X;José Caballero;;Caballero, José;Estatal para la Acción Cultural Exterior, Sociedad;Sociedad Estatal para la Acción Cultural Exterior;2002;;;130;;Disponível;;;
150-291;9723604787;José de Guimarães na arte portuguesa dos anos 90;;;;Afrontamento;1999;;;95;;Disponível;;;
150-292;9682998824;Jose de Guimaraes;;de Guimaraes, Jose;Instituto Nacional de Bellas Artes;Instituto Nacional de Bellas Artes;1997;;;71;;Disponível;;;
150-293;9783899291407;José de Guimarães;;Museo Würth La Rioja (Agoncillo, Spain);Würth La Rioja, Museo;Museo Würth La Rioja;2008;;;222;;Disponível;;;
150-294;9789725644966;José de Guimarães, retrospectiva, 1960-2001;;de Guimarães, José;Editores, Quetzal;Quetzal Editores;2001;;;470;;Disponível;;;
150-295;9728176759;José Pedro Croft;;Pedro Croft, José;Fundaçõao Centro Cultural de Belém;Fundaçõao Centro Cultural de Belém;2002;;;217;;Disponível;;;
150-296;9789724135434;José Rodrigues;;da Cruz Santos, José;Lourenco, Eduardo;Edições Asa;2003;;;108;;Disponível;;;
150-297;2858509530;Cahiers Hors-Serie/Archives-Juan Gris Correspondance Avec Leonce Rosenberg 1915-1927;;Derouet, Christian;Centre Georges Pompidou Service Commercial,France;Centre Georges Pompidou Service Commercial,France;1999;;;152;;Disponível;;;https://covers.openlibrary.org/b/id/3147924-L.jpg
150-298;0975439081;Jules Olitski. The seventies;;Jules Olitski;Paul Kasmin Gallery;Paul Kasmin Gallery;2006;;;31;;Disponível;;;https://covers.openlibrary.org/b/id/9604402-L.jpg
150-299;9789729089534;Parousia;;Sarmento, Julião;Árvore, Cooperativa de Actividades Artísticas;Árvore, Cooperativa de Actividades Artísticas;2013;;;57;;Disponível;;;
150-300;9783775735308;Julião Sarmento;;Baldessari, John;Gordon, Douglas;Hatje Cantz Verlag GmbH & Co KG;2012;;;388;;Disponível;;;
150-301;8448205227;Juliao Sarmento;;Sarmento, Juliao;Herkenhoff, Paulo;Le Centre;1994;;;115;;Disponível;;;
150-302;9788881182633;Julio Gonzalez;;Gonzalez, Julio;Bern, Kunstmuseum;Kunstmuseum Bern;1997;;;283;;Disponível;;;
150-303;9780988618831;Julian Stanczak;;& Nash, Mitchell-Innes;Stanczak, Julian;Mitchell-Innes & Nash;2016;;;76;;Disponível;;;
150-304;9728176929;Julio Pomar;;Pomar, Julio;Fundacao Centro Cultural de Belem;Fundacao Centro Cultural de Belem;2004;;;195;;Disponível;;;
