Nº Colecção;ISBN;Título;Edição;Autor;Autor 2;Editora;Ano;Género;Idioma;Páginas;Localização;Estado;Observações;Valor;Capa (URL)
150-524;9782908901603;Jean-Pierre Raynaud;;Pierre Raynaud, Jean;Abadie, Daniel;Musée du Jeu de Paume;1998;;;183;;Disponível;;;
150-525;9728176953;Rebecca Horn;;Zweite, Armin;Horn, Rebecca;Fundacao Centro Cultural de Belem;2005;;;279;;Disponível;;;
150-526;9066302984;Rembrandt;;Brown, Christopher. Kelch, Jan. Thiel, Pieter Van.;Museum of Fine Arts, Boston;Museum of Fine Arts, Boston;1991;;;396;;Disponível;;;https://covers.openlibrary.org/b/id/13631981-L.jpg
150-527;9061790573;Rembrandt;;Schwartz, Gary;Schwartz, Gary;Gary Schwartz;1984;;;380;;Disponível;;;https://covers.openlibrary.org/b/id/7246819-L.jpg
150-528;9788482230269;Renoir, 1841-1919;;;;;1994;;;;;Disponível;;;
150-529;0517686139;Renoir;;Auguste Renoir;Park Lane;Park Lane;1989;;;386;;Disponível;;;
150-530;087427057X;Artschwager, Richard;;Armstrong, Richard;Whitney Museum of American Art in association with W.W. Norton;Whitney Museum of American Art in association with W.W. Norton;1988;;;176;;Disponível;;;https://covers.openlibrary.org/b/id/8425200-L.jpg
150-531;1870280598;Paul Lohse Richard - Colour Becomes Form;;Lynton, Norbet;Juda Fine Art, Annely;Annely Juda Fine Art;1997;;;64;;Disponível;;;
150-532;9789729181771;Lisboa mulher;;Vala Roberto, José;Publicidade Artes Graficas, Elo;Elo Publicidade Artes Graficas;2000;;;143;;Disponível;;;
150-533;9781905620470;Forever foreign;;Banerjee, Rina;of Venison, Haunch;Haunch of Venison;2010;;;;;Disponível;;;
150-534;9782825801109;Ecrits sur l'art;;;;Ides et calendes;1996;;;288;;Disponível;;;
150-535;9780918471741;Robert Bechtle;;Bechtle, Robert;C. Bishop, Janet;San Francisco Museum of Modern Art;2005;;;207;;Disponível;;;https://covers.openlibrary.org/b/id/4790652-L.jpg
150-536;0971325952;Robert Indiana;;Robert Indiana;Joachim Pissarro;Paul Kasmin Gallery;2003;;;14;;Disponível;;;
150-537;2901412696;Robert Malaval;;Malaval, Robert;d'Art Moderne et d'Art Contemporain, Musee;Musee d'Art Moderne et d'Art Contemporain;1995;;;152;;Disponível;;;
150-538;0847803368;Reconciliation elegy;;Motherwell, Robert.;Motherwell, Robert;Skira;1980;;;87;;Disponível;;;https://covers.openlibrary.org/b/id/13892655-L.jpg
150-539;9780670893485;Photomosaic Portraits;;Silvers, Robert;;Viking Studio;2000;Fotografia;;83;;Disponível;;;https://covers.openlibrary.org/b/id/402710-L.jpg
150-540;0140706232;Robyn Denny.;;Thompson, David;Books, Penguin;Penguin Books;1971;;;64;;Disponível;;;https://covers.openlibrary.org/b/id/4442453-L.jpg
150-541;9781873830031;Philipson;;Smith, W.Gordon;Books, Atelier;Atelier Books;1995;;;120;;Disponível;;;
150-542;039450657X;Norman Rockwell 332 Magazine Covers;;Rockwell, Norman;Robin Finch, Christopher;Random House Value Publishing;1982;;;;;Disponível;;;
150-543;1870280970;Things of August;;Ackling, Roger;Juda Fine Art, Annely;Annely Juda Fine Art;2003;;;19;;Disponível;;;
150-544;9781853321184;Roger Hilton;;Hilton, Roger;Gooding, Mel;Hayward Gallery Publishing;1993;;;120;;Disponível;;;
150-545;9782351450277;Roman Opalka, octogone;;Opalka, Roman;Un, deux, quatre;Un, deux, quatre;2006;;;124;;Disponível;;;
150-546;0436021706;Rosa Bonheur;;Ashton, Dore;& Warburg, Secker;Secker & Warburg;1981;;;206;;Disponível;;;https://covers.openlibrary.org/b/id/8443964-L.jpg
150-547;3952304808;Mark Rothko: Works on paper. 1930-1969. Herbert Matter und Kurt Blum: Two Swiss photographers encounter Mark Rothko. Exhibition, 7 June-20 August 2005;;Rothko, Mark;Wick, Oliver;Galerie Beyeler;2005;;;66;;Disponível;;;
150-548;3775710272;Mark Rothko;;Rothko, Mark;Cantz, Hatje;Hatje Cantz;2001;;;203;;Disponível;;;
